order_id,order_date,product_category,quantity,unit_price,total_cost,supplier_name,supplier_location,lead_time_days,warehouse_destination,delivery_date,actual_delivery_days,delivery_status,on_time,product_defects,return_status
Ord-0001,2022-11-28,Fasteners,94,64.49,6062.06,Suppliere,Mexico,32,Warehouse_3,2022-12-30,32,Delayed,Yes,0.0,No Return
Ord-0002,,Fasteners,16,76.63,1226.08,Supplier E,Mexico,17,Warehouse_2,2022-03-09,17,Delivered,Yes,2.0,Partial Return
Ord-0003,,Control Systems,25,2159.06,53976.5,Supplier A,Usa,17,Warehouse_1,2022-11-20,17,Delivered,Yes,0.0,
Ord-0004,,Valves,33,774.64,25563.12,Supplierc,China,36,Warehouse_1,2023-01-20,36,Delivered,Yes,0.0,No Return
Ord-0005,,Motors,13,2091.41,27188.33,Supplierb,Germany,15,Warehouse_6,2022-03-17,15,Delivered,Yes,0.0,No Return
Ord-0006,,Motors,24,1214.74,29153.76,Supplier A,Usa,10,Warehouse_4,2022-09-06,10,Delayed,Yes,0.0,No Return
Ord-0007,,Sensors,24,529.64,12711.36,Supplierb,Germany,20,Warehouse_3,2023-10-10,20,Delivered,Yes,0.0,No Return
Ord-0008,,Pumps,6,1196.34,7178.04,Supplierd,India,26,Warehouse_6,2023-05-19,26,Delivered,Yes,0.0,No Return
Ord-0009,2023-01-11,Connectors,55,277.06,15238.3,Suppliere,Mexico,24,Wh_2,2023-02-04,24,Delivered,Yes,0.0,No Return
Ord-0010,,Motors,39,4573.28,178357.92,Supplierb,Germany,13,Warehouse_4,2022-10-06,13,Delivered,Yes,,No Return
Ord-0011,,Valves,14,749.01,10486.14,Supplierc,China,32,Warehouse_3,2024-01-31,32,Delivered,Yes,0.0,No Return
Ord-0012,,Pumps,21,3218.14,67580.94,Supplier C,China,25,Warehouse_2,,25,Delivered,Yes,0.0,No Return
Ord-0013,,Connectors,36,404.92,14577.12,Suppliere,Mexico,25,Warehouse_2,2023-01-23,25,Delivered,Yes,0.0,No Return
Ord-0014,,Connectors,19,182.46,3466.74,Supplier E,Mexico,30,Warehouse_2,2022-05-19,30,Delivered,Yes,0.0,No Return
Ord-0015,,Fasteners,20,77.43,1548.6,Suppliere,Mexico,28,Warehouse_1,2022-10-21,28,Delivered,Yes,0.0,No Return
Ord-0016,2022-04-07,Sensors,7,1034.62,7242.34,Supplier C,China,44,Warehouse_3,2022-05-21,44,Delivered,Yes,9.0,Partial Return
Ord-0017,,Fasteners,38,104.38,3966.44,Supplier E,Mexico,19,Warehouse_2,2022-09-11,19,Delivered,Yes,0.0,No Return
Ord-0018,,Control Systems,27,3664.4,98938.8,Suppliera,Usa,8,Warehouse_6,2022-03-24,8,Delivered,Yes,0.0,No Return
Ord-0019,,Hydraulics,30,1650.17,49505.1,Supplierd,India,32,Warehouse_3,2022-12-23,37,Delivered,No,0.0,No Return
Ord-0020,,Hydraulics,7,2281.34,15969.38,Supplier D,India,28,Warehouse_1,2022-12-15,33,Delayed,No,7.0,Full Return
Ord-0021,,Sensors,91,901.78,82061.98,Supplierc,China,31,Warehouse_1,2022-10-28,31,Delivered,Yes,0.0,No Return
Ord-0022,,Control Systems,27,3433.18,92695.86,Supplier A,Usa,16,Warehouse_4,2023-10-23,16,Delivered,Yes,0.0,No Return
Ord-0023,,Connectors,17,95.49,1623.33,Supplier E,Mexico,17,Warehouse_5,2022-02-03,17,Cancelled,Yes,0.0,No Return
Ord-0024,,Control Systems,124,2133.92,264606.08,Suppliera,Usa,8,Warehouse_3,2023-05-09,8,Delivered,Yes,0.0,No Return
Ord-0025,,Pumps,23,2308.81,53102.63,Supplierc,China,25,Wh_6,2023-10-24,25,Delivered,Yes,0.0,No Return
Ord-0026,,Fasteners,7,239.12,1673.84,Suppliere,Mexico,16,Warehouse_2,2023-04-22,16,Delivered,Yes,0.0,No Return
Ord-0027,2023-02-20,Control Systems,17,2515.49,42763.33,Suppliera,Usa,10,Warehouse_2,2023-03-02,10,Delivered,Yes,0.0,No Return
Ord-0028,2022-10-09,Connectors,5,388.83,1944.15,Supplier E,Mexico,22,Warehouse_2,2022-11-17,39,Delivered,No,0.0,No Return
Ord-0029,,Hydraulics,56,1243.8,70335.64327447544,Supplier D,India,22,Warehouse_2,2023-04-29,22,Delivered,Yes,0.0,No Return
Ord-0030,,Pumps,17,3789.78,64426.26,Supplierd,India,22,Warehouse_2,2023-06-16,22,Delayed,Yes,0.0,
Ord-0031,,Pumps,13,2359.85,30678.05,Supplierd,India,24,Warehouse_4,2022-03-29,24,Delivered,Yes,0.0,No Return
Ord-0032,,Motors,57,2094.48,119385.36,Supplierb,Germany,10,Warehouse_4,2022-01-11,10,Delayed,Yes,0.0,No Return
Ord-0033,,Fasteners,6,137.49,824.94,Suppliere,Mexico,20,Warehouse_3,2022-11-28,20,Delivered,No,0.0,No Return
Ord-0034,,Motors,37,2306.63,85342.60639154492,Supplierb,Germany,18,Warehouse_1,2022-09-28,18,Delivered,Yes,0.0,No Return
Ord-0035,,Pumps,5,3278.01,16390.05,Supplier C,China,29,Warehouse_1,2022-08-28,29,Delayed,Yes,0.0,No Return
Ord-0036,,Sensors,14,794.61,11124.54,Supplierb,Germany,13,Warehouse_5,2022-06-08,13,Delivered,Yes,,No Return
Ord-0037,2022-03-22,Control Systems,9,3889.97,35009.73,Suppliera,Usa,8,Warehouse_2,2022-03-30,8,Delivered,Yes,0.0,No Return
Ord-0038,,Valves,79,783.66,61909.14,Supplierb,Germany,13,Warehouse_1,2023-10-16,13,Delivered,Yes,0.0,No Return
Ord-0039,,Motors,100,3776.06,377606.0,Suppliera,Usa,11,Warehouse_3,2022-03-19,11,Delivered,No,0.0,No Return
Ord-0040,,Motors,18,1775.77,31963.86,Supplier A,Usa,5,Warehouse_6,2023-09-08,5,Delayed,Yes,0.0,No Return
Ord-0041,,Control Systems,48,2293.59,110092.32,Suppliera,Usa,14,Warehouse_6,2023-12-06,14,Delivered,Yes,0.0,No Return
Ord-0042,,Sensors,21,822.24,17267.04,Supplierb,Germany,20,Warehouse_3,,20,Delayed,Yes,0.0,No Return
Ord-0043,2023-10-15,Hydraulics,38,1400.55,53220.9,Supplierd,India,29,Warehouse_4,2023-11-13,29,Delivered,Yes,0.0,No Return
Ord-0044,,Hydraulics,13,873.19,11351.47,Supplierd,India,26,Warehouse_3,2023-03-07,26,Delivered,Yes,0.0,No Return
Ord-0045,2023-03-21,Connectors,6,113.48,680.88,Suppliere,Mexico,25,Warehouse_1,2023-04-15,25,Delayed,Yes,10.0,Partial Return
Ord-0046,,Control Systems,5,2803.39,14016.95,Suppliera,Usa,11,Warehouse_1,2022-08-02,11,Delivered,Yes,0.0,No Return
Ord-0047,,Control Systems,33,3457.18,114086.94,Supplier A,Usa,5,Warehouse_2,2023-02-02,5,Delivered,Yes,0.0,No Return
Ord-0048,2023-04-03,Pumps,148,2694.79,398828.92,Supplierc,China,29,Warehouse_2,2023-05-02,29,Delivered,Yes,0.0,No Return
Ord-0049,,Valves,30,829.51,24885.3,Supplierb,Germany,13,Warehouse_3,2022-12-01,13,Delivered,Yes,0.0,No Return
Ord-0050,,Valves,16,955.56,15288.96,Supplierb,Germany,15,Warehouse_3,2023-10-03,15,Delivered,Yes,,No Return
Ord-0051,,Motors,113,2495.2,281957.6,Suppliera,Usa,6,Warehouse_2,,6,Delivered,Yes,0.0,No Return
Ord-0052,,Control Systems,29,3517.22,101999.38,Suppliera,Usa,9,Warehouse_1,2023-06-22,9,Delivered,Yes,,
Ord-0053,,Pumps,26,3302.57,85866.82,Supplier C,China,26,Warehouse_5,2022-12-01,26,Delayed,Yes,0.0,No Return
Ord-0054,,Valves,30,250.46,7513.8,Supplier B,Germany,8,Warehouse_2,2023-06-23,8,In-Transit,Yes,0.0,No Return
Ord-0055,,Motors,22,3807.5,83765.0,Suppliera,Usa,11,Warehouse_5,2022-11-24,11,Delivered,Yes,0.0,
Ord-0056,,Control Systems,19,3976.64,75556.16,Suppliera,Usa,9,Warehouse_1,2022-03-04,9,Pendng,Yes,0.0,No Return
Ord-0057,,Fasteners,7,156.12,335.2668297816992,Suppliere,Mexico,28,Wh_4,2023-11-15,38,Delivered,No,0.0,No Return
Ord-0058,,Valves,36,929.04,33445.44,Supplier B,Germany,16,Warehouse_1,2022-03-01,16,Delivered,Yes,0.0,
Ord-0059,,Motors,22,2411.46,53052.12,Suppliera,Usa,10,Wh_4,,10,Delivered,Yes,0.0,No Return
Ord-0060,,Valves,63,1202.0,75726.0,Supplierb,Germany,12,Warehouse_3,2023-04-24,12,Delivered,Yes,0.0,No Return
Ord-0061,,Control Systems,18,2125.12,38252.16,Suppliera,Usa,6,Wh_5,2022-06-18,6,Delivered,Yes,0.0,No Return
Ord-0062,,Pumps,5,2729.16,13645.8,Supplier D,India,22,Warehouse_2,2023-08-04,22,Delivered,Yes,0.0,No Return
Ord-0063,,Motors,22,3707.63,81567.86,Supplierb,Germany,12,Warehouse_6,2022-09-06,12,Delivered,Yes,0.0,No Return
Ord-0064,,Fasteners,95,80.19,7618.05,Suppliere,Mexico,23,Warehouse_3,2022-07-11,23,Delivered,Yes,,No Return
Ord-0065,2022-05-26,Control Systems,18,2154.17,38775.06,Suppliera,Usa,11,Warehouse_1,2022-06-06,11,Delivered,Yes,0.0,No Return
Ord-0066,,Valves,12,737.12,8845.44,Supplier B,Germany,17,Warehouse_1,2023-03-03,17,Delivered,Yes,8.0,
Ord-0067,,Motors,9,3782.27,34040.43,Supplierb,Germany,23,Warehouse_3,,23,Delivered,Yes,0.0,No Return
Ord-0068,,Sensors,10,1042.37,10423.7,Supplierc,China,25,Warehouse_4,2022-04-12,25,Delivered,Yes,0.0,No Return
Ord-0069,,Connectors,19,316.35,6010.65,Suppliere,Mexico,27,Warehouse_6,2022-09-16,27,Delivered,Yes,0.0,No Return
Ord-0070,2022-10-15,Control Systems,9,2809.28,25283.52,Suppliera,Usa,14,Wh_3,2022-10-29,14,Delivered,Yes,0.0,No Return
Ord-0071,,Control Systems,81,3806.27,308307.87,Supplier A,Usa,17,Warehouse_4,2023-11-20,17,Delivered,Yes,0.0,No Return
Ord-0072,,Motors,19,1621.13,30801.47,Supplier B,Germany,14,Warehouse_1,2023-07-12,14,Delivered,Yes,0.0,No Return
Ord-0073,,Control Systems,26,2630.81,68401.06,Suppliera,Usa,10,Warehouse_4,2023-11-23,10,Delayed,Yes,0.0,No Return
Ord-0074,,Control Systems,77,3602.01,277354.77,Supplier A,Usa,8,Warehouse_2,2022-05-18,8,Delivered,Yes,0.0,No Return
Ord-0075,,Control Systems,81,4126.42,334240.02,Supplier A,Usa,5,Warehouse_1,2022-07-21,5,Delivered,Yes,0.0,No Return
Ord-0076,,Hydraulics,20,1967.3,39346.0,Supplier D,India,23,Warehouse_4,,23,Delayed,Yes,0.0,No Return
Ord-0077,,Sensors,31,874.37,27105.47,Supplierb,Germany,14,Warehouse_2,2022-02-04,14,Cancelled,Yes,0.0,No Return
Ord-0078,,Motors,44,3609.72,158827.68,Supplier A,Usa,10,Warehouse_3,2023-10-14,10,Delayed,Yes,0.0,No Return
Ord-0079,,Valves,21,1273.51,26743.71,Supplierc,China,23,Warehouse_3,2023-08-17,23,Delayed,Yes,0.0,No Return
Ord-0080,,Hydraulics,5,921.74,4608.7,Supplier D,India,23,Warehouse_4,2023-05-20,23,Delivered,Yes,0.0,No Return
